iter	Passed	Remaining
1477	27000	27804
1478	27019	27786
1479	27042	27773
1480	27062	27756
1481	27079	27737
1482	27110	27732
1483	27132	27717
1484	27150	27698
1485	27169	27681
1486	27186	27662
1487	27204	27642
1488	27221	27623
1489	27238	27604
1490	27257	27586
1491	27274	27567
1492	27290	27546
1493	27307	27526
1494	27322	27505
1495	27339	27485
1496	27354	27464
1497	27371	27445
1498	27390	27426
1499	27409	27409
1500	27426	27390
1501	27446	27373
1502	27462	27352
1503	27480	27334
1504	27500	27317
1505	27525	27305
1506	27547	27291
1507	27566	27273
1508	27585	27256
1509	27603	27238
1510	27622	27220
1511	27646	27207
1512	27665	27189
1513	27682	27170
1514	27701	27153
1515	27718	27133
1516	27734	27113
1517	27752	27093
1518	27768	27073
1519	27784	27053
1520	27800	27032
1521	27817	27012
1522	27834	26993
1523	27850	26973
1524	27867	26953
1525	27883	26933
1526	27902	26915
1527	27918	26895
1528	27934	26874
1529	27950	26854
1530	27967	26834
1531	27983	26814
1532	28000	26795
1533	28019	26777
1534	28037	26759
1535	28054	26738
1536	28071	26720
1537	28088	26700
1538	28110	26685
1539	28129	26668
1540	28152	26654
1541	28173	26638
1542	28192	26620
1543	28213	26605
1544	28234	26590
1545	28255	26574
1546	28274	26556
1547	28294	26539
1548	28311	26519
1549	28328	26501
1550	28345	26481
1551	28360	26460
1552	28378	26441
1553	28394	26421
1554	28411	26401
1555	28432	26386
1556	28452	26369
1557	28473	26353
1558	28491	26334
1559	28514	26321
1560	28534	26304
1561	28552	26286
1562	28574	26271
1563	28592	26252
1564	28610	26233
1565	28628	26214
1566	28644	26194
1567	28661	26175
1568	28680	26157
1569	28698	26139
1570	28717	26121
1571	28737	26105
1572	28760	26090
1573	28779	26073
1574	28799	26056
1575	28819	26039
1576	28837	26021
1577	28854	26002
1578	28873	25984
1579	28891	25966
1580	28909	25947
1581	28927	25928
1582	28945	25909
1583	28961	25890
1584	28980	25871
1585	28999	25854
1586	29019	25837
1587	29039	25821
1588	29059	25804
1589	29079	25787
1590	29102	25772
1591	29124	25758
1592	29141	25738
1593	29161	25721
1594	29177	25702
1595	29195	25683
1596	29212	25663
1597	29228	25643
1598	29247	25625
1599	29266	25607
1600	29286	25591
1601	29304	25572
1602	29322	25554
1603	29339	25534
1604	29358	25517
1605	29378	25500
1606	29398	25483
1607	29417	25465
1608	29437	25448
1609	29455	25430
1610	29476	25414
1611	29498	25399
1612	29522	25386
1613	29544	25371
1614	29565	25355
1615	29584	25336
1616	29602	25319
1617	29621	25300
1618	29640	25283
1619	29659	25265
1620	29679	25248
1621	29698	25231
1622	29718	25214
1623	29738	25197
1624	29757	25179
1625	29774	25159
1626	29792	25141
1627	29810	25122
1628	29829	25104
1629	29847	25086
1630	29864	25067
1631	29882	25048
1632	29901	25030
1633	29922	25014
1634	29940	24996
1635	29959	24978
1636	29977	24960
1637	29996	24942
1638	30015	24924
1639	30034	24906
1640	30059	24893
1641	30078	24875
1642	30096	24857
1643	30115	24840
1644	30133	24820
1645	30150	24801
1646	30166	24781
1647	30182	24761
1648	30199	24741
1649	30215	24722
1650	30231	24701
1651	30249	24682
1652	30267	24664
1653	30285	24645
1654	30304	24628
1655	30321	24609
1656	30337	24588
1657	30354	24568
1658	30370	24549
1659	30387	24529
1660	30405	24511
1661	30421	24491
1662	30438	24471
1663	30454	24451
1664	30469	24430
1665	30486	24410
1666	30502	24391
